Municipality (n=104),Province,Latitude,Longitude,Year,Population,Part of NZAP (Y/N),Part of GCoM with a Mitigation Plan (Y/N),Part of PPC (Y/N),CAP Filename
New Westminster,British Columbia,49.2057179,-122.910956,2022,82000,NO,NO,YES,British Columbia_New Westminster
Oakville,Ontario,43.4507462,-79.7288743,2021,211000,NO,YES,YES,Ontario_Oakville
Okotoks,Alberta,50.7255163,-113.9749127,2018,32000,YES,NO,YES,Alberta_Okotoks
Orillia,Ontario,44.6082465,-79.4196783,2022,33000,YES,NO,YES,Ontario_Orillia
Ottawa,Ontario,45.4200572,-75.7003397,2020,1067310,YES,YES,NO,Ontario_Ottawa
Owen Sound,Ontario,44.5690305,-80.9405602,Under preparation - draft 2023,22000,YES,NO,NO,Ontario_Owen Sound
Peterborough,Ontario,44.3047061,-78.3199606,2016,83000,YES,NO,YES,Ontario_Peterborough
Port Moody,British Columbia,49.2849107,-122.8677562,2020,35000,NO,NO,YES,British Columbia_Port Moody
Quispamsis,New Brunswick,45.4321713,-65.9462583,2018,19000,YES,NO,NO,New Brunswick_Quispamsis
Region of Peel,Ontario,43.6766398,-79.7848422,2020,250000,YES,NO,NO,Ontario_Region of Peel
Richmond Hill,Ontario,43.8688079,-79.4137153,2021,209000,NO,NO,YES,Ontario_Richmond Hill
Saint John,New Brunswick,45.2733153,-66.0633081,2019,67575,YES,YES,YES,New Brunswick_Saint John
Saint-Laurent,Québec,45.5022961,-73.706066,,1750000,NO,NO,YES,Quebec_Saint-Laurent
Saskatoon,Saskatchewan,52.157902,-106.6701577,2019,288311,YES,YES,NO,Saskatchewan_Saskatoon
Sidney,British Columbia,48.6502411,-123.399005,2022,12318,YES,NO,NO,British Columbia_Sidney
Spruce Grove,Alberta,53.5412414,-113.9100733,2022,39292,NO,NO,YES,Alberta_Spruce Grove
Squamish,British Columbia,49.7016339,-123.1558121,2020,20000,YES,NO,YES,British Columbia_Squamish
St. John's,Newfoundland and Labrador,47.5556097,-52.7452511,2019,114000,NO,YES,YES,Newfoundland and Labrador_St. John's
Stratford,Prince Edward Island,46.2168746,-63.0881529,2017,32000,YES,NO,YES,Prince Edward Island_Stratford
Summerland,British Columbia,49.603236,-119.6834179,2020,11615,NO,NO,YES,British Columbia_Summerland
Sunshine Coast Regional District,British Columbia,49.7604377,-123.7643986,Under preparation - draft 2024,30000,YES,NO,NO,British Columbia_Sunshine Coast Regional District
Surrey,British Columbia,49.1913466,-122.8490125,2023,617800,NO,YES,YES,British Columbia_Surrey
Tay Valley Township,Ontario,44.8853517,-76.3124898,2020,10000,YES,NO,NO,Ontario_Tay Valley Township
Thunder Bay,Ontario,48.3808951,-89.2476823,2020,108000,YES,YES,YES,Ontario_Thunder Bay
Timmins,Ontario,48.4758208,-81.3304953,2022,41788,YES,NO,NO,Ontario_Timmins
Toronto,Ontario,43.653226,-79.3831843,2021,2800000,YES,YES,YES,Ontario_Toronto
